time,seconds_elapsed,text,millisecond_press_duration
1776080297888000000,37.849,Normal road,68
1776080331488000000,71.449,Speed Breaker,90
1776080332912000000,72.873,Pothole,65
1776080353920000000,93.881,Speed Breaker,51
1776080372172000000,112.133,Pothole,101
1776080428317000000,168.278,Speed Breaker,89
1776080434211000000,174.172,Pothole,84
1776080444083000000,184.044,Speed Breaker,91
1776080488248000000,228.209,Normal road,100
1776080496201000000,236.162,Normal road,72
1776080498475000000,238.436,Pothole,101
1776080555388000000,295.349,Pothole,117
1776080600880000000,340.841,Pothole,85
1776080625335000000,365.296,Speed Breaker,51
1776080632538000000,372.49899975585936,Speed Breaker,99
1776080637974000000,377.9350002441406,Pothole,65
1776080648503000000,388.464,Pothole,118
1776080652219000000,392.18,Pothole,102
1776080653894000000,393.8550002441406,Pothole,117
1776080661523000000,401.484,Pothole,108
1776080707565000000,447.526,Pothole,104
1776080737585000000,477.546,Pothole,100
1776080749968000000,489.929,Pothole,106
1776080752662000000,492.6230002441406,Speed Breaker,83
1776080759206000000,499.16700024414064,Pothole,100
1776080857490000000,597.4509997558594,Pothole,83
1776080874022000000,613.9830002441406,Pothole,93
1776080912566000000,652.5270002441406,Pothole,98
1776081007356000000,747.317,Normal road,102
1776081012161000000,752.122,Normal road,68
1776081025099000000,765.06,Pothole,102
1776081034001000000,773.962,Pothole,102
1776081043435000000,783.396,Pothole,117
1776081065079000000,805.04,Pothole,86
1776081079684000000,819.645,Speed Breaker,116
1776081088085000000,828.046,Speed Breaker,99
1776081105319000000,845.28,Pothole,80
1776081106862000000,846.8230002441406,Pothole,116
1776081121903000000,861.864,Pothole,81
1776081124248000000,864.209,Speed Breaker,79
1776081131010000000,870.9709997558593,Speed Breaker,100
1776081148532000000,888.493,Pothole,108
1776081172279000000,912.24,Speed Breaker,100
1776081183642000000,923.6029997558594,Speed Breaker,99
1776081200530000000,940.4909997558593,Speed Breaker,100
1776081214285000000,954.246,Speed Breaker,101
1776081218018000000,957.9789997558594,Pothole,117
1776081220260000000,960.221,Speed Breaker,101
1776081235204000000,975.165,Speed Breaker,112
1776081238333000000,978.294,Speed Breaker,81
1776081251373000000,991.334,Speed Breaker,118
1776081258399000000,998.36,Speed Breaker,101
1776081298044000000,1038.005,Normal road,101
1776081323498000000,1063.4589997558594,Normal road,100
1776081359696000000,1099.657,Speed Breaker,100
1776081434201000000,1174.162,Speed Breaker,135
1776081450250000000,1190.2109997558593,Speed Breaker,117
